genres,user_id,year,playtime_forever
Action,--000--,2014,2949.0
Action,--ace--,2014,1269.0
Action,--ionex--,2015,842.0
Action,-2SV-vuLB-Kg,2014,30955.0
Action,-Beave-,2014,2864.0
Action,-Kenny,2013,12842.0
Action,-Mad-,2013,3460.0
Action,-PRoSlayeR-,2015,1439.0
Action,-SEVEN-,2013,157121.0
Action,-SatansLittleHelper-,2015,33822.0
Action,-Ultrix,2014,5713.0
Action,-_PussyDestroyer_-,2014,59.0
Action,-kainey9777,2015,9858.0
Action,0-3-0,2014,295.0
Action,00000000000000000001227,2013,718.0
Action,00000000000000000001227,2014,23824.0
Action,001000111000111000010,2013,2594.0
Action,00454211432342,2015,133397.0
Action,0099654321891111,2014,397.0
Action,00True,2014,166616.0
Action,01001000-01101001,2014,3416.0
Action,011011010111001000101110,2015,943.0
Action,011111135489484797,2013,436.0
Action,01189958889189157253,2014,1131.0
Action,022899,2013,13004.0
Action,04061993,2013,8816.0
Action,04061993,2015,3001.0
Action,042153100,2014,8587.0
Action,04280122,2013,1963.0
Action,0432-026-no,2014,6709.0
Action,05041129,2015,121460.0
Action,05461025,2015,998.0
Action,0700464574757,2015,1450.0
Action,07846813956825,2014,13753.0
Action,0896398616,2014,4508.0
Action,0903512455,2015,449.0
Action,09106,2014,5156.0
Action,091263,2013,506.0
Action,091263,2014,1353.0
Action,09876543231,2014,5748.0
Action,098766catdogbnmnnn,2013,8259.0
Action,098766catdogbnmnnn,2015,68454.0
Action,1001101001110101,2014,593.0
Action,10051997,2014,61601.0
Action,1011001,2014,42475.0
Action,1011001,2015,235.0
Action,102598615,2014,15372.0
Action,10936543792,2013,998.0
Action,10936543792,2014,239.0
Action,10Degree,2015,25733.0
Action,111190869,2015,3272.0
Action,111222333444555666888,2015,7212.0
Action,111zerosen,2014,15598.0
Action,1122305938,2014,3268.0
Action,113595,2014,438.0
Action,11567jj,2013,1044.0
Action,117arbiter,2014,23269.0
Action,117arbiter,2015,14301.0
Action,119922883377446655123456789,2015,4505.0
Action,11XGX,2014,391.0
Action,11XGX,2015,1386.0
Action,1212343456567878909,2015,34280.0
Action,12125,2013,3256.0
Action,123123123131231231,2014,3928.0
Action,12312312332123,2015,60698.0
Action,123232343432555686888554456555,2014,627.0
Action,1234567810132,2014,20118.0
Action,12345678901234567890123456567890,2014,18909.0
Action,12345678901234567890123456567890,2015,2823.0
Action,1234567890192837465,2015,14325.0
Action,12345678910a,2014,106241.0
Action,123456789874561232145678,2012,1225.0
Action,1234567io9872345678765432,2014,6100.0
Action,1234567io9872345678765432,2015,72050.0
Action,1234865654,2014,5578.0
Action,123repulseMe,2014,3358.0
Action,123repulseMe,2015,238.0
Action,12536475869trhgsdf,2014,15601.0
Action,12779,2014,1171.0
Action,12DeAgostoAs12HRSe26MIN,2015,1946.0
Action,12das,2015,1713.0
Action,1300655506nigga,2014,295.0
Action,131312,2014,20708.0
Action,131467132,2014,61020.0
Action,1321742413,2013,950.0
Action,1337666133766613376661337,2015,782.0
Action,1337_K_REW,2015,73575.0
Action,1337lolroflmao,2013,5141.0
Action,1337lolroflmao,2014,1779.0
Action,1337lolroflmao,2015,11950.0
Action,1337putin,2015,69517.0
Action,1343534566,2014,19027.0
Action,13457856281,2015,1018.0
Action,135781,2014,10523.0
Action,135781,2015,44686.0
Action,13971397,2014,3820.0
Action,13lazer,2012,3506.0
Action,14372193,2014,326.0
Action,1440454,2015,108.0
Action,1452221660414,2013,1551.0
Action,1452221660414,2014,9035.0
Action,1457184935981,2015,17914.0
Action,154352,2014,9165.0
Action,1546328127418,2014,14406.0
Action,154930493,2015,22124.0
Action,15511551,2014,25217.0
Action,15934,2013,10493.0
Action,15934,2014,3160.0
Action,1626466724893520,2014,56622.0
Action,1626466724893520,2015,7899.0
Action,16538,2013,2654.0
Action,169420666,2014,515.0
Action,17101710,2013,647.0
Action,17101710,2015,1140.0
Action,171516,2013,883.0
Action,171516,2014,613.0
Action,1739902091026,2014,9067.0
Action,174gamecuman700kngkakak,2014,59928.0
Action,17829463213,2014,8043.0
Action,1800-Ricohut,2013,1028.0
Action,1800-Ricohut,2014,583.0
Action,1800-Ricohut,2015,2855.0
Action,18082001,2015,30930.0
Action,1873410337,2014,82236.0
Action,1873410337,2015,10998.0
Action,187625,2014,1028.0
Action,19-20-5-20-27-5-18,2015,22613.0
Action,1920410,2014,208.0
Action,1922001,2014,1072.0
Action,194847383,2013,1838.0
Action,194847383,2014,20235.0
Action,1956aa1,2015,334.0
Action,195862,2014,238.0
Action,195862,2015,47741.0
Action,1MLG2U,2014,2282.0
Action,1MLG2U,2015,5981.0
Action,1R1M1,2014,3848.0
Action,1epicninja,2014,143151.0
Action,1epicninja,2015,38008.0
Action,1iam1iam1iam,2014,12415.0
Action,1iam1iam1iam,2015,2709.0
Action,1jamesn4,2014,877.0
Action,1snap,2013,449.0
Action,1snap,2014,102.0
Action,1snap,2015,4873.0
Action,1stBLUE-COW,2014,5054.0
Action,1v1meguy,2014,16264.0
Action,200220006,2014,6732.0
Action,20041213,2014,6402.0
Action,210519992016,2015,465.0
Action,2222455,2013,863.0
Action,225555,2015,82434.0
Action,23012003,2013,7896.0
Action,231091,2013,6352.0
Action,231321455,2013,773.0
Action,23184798,2015,18239.0
Action,23434454365463446754546576e45646,2014,5532.0
Action,2364786499,2015,10678.0
Action,23745736,2014,916.0
Action,23745736,2015,437.0
Action,2390746539217,2013,7199.0
Action,23974656456,2014,353.0
Action,23Batman05,2013,772.0
Action,23Batman05,2014,1053.0
Action,23Batman05,2015,4956.0
Action,24453,2015,6232.0
Action,24596,2014,49530.0
Action,246823,2014,9840.0
Action,247211,2014,3945.0
Action,2571,2014,137.0
Action,2571,2015,11084.0
Action,25_Years_Since_Freddie,2015,13792.0
Action,2608739,2013,14372.0
Action,2647891,2014,376.0
Action,27073108,2014,16443.0
Action,27073108,2015,70016.0
Action,27601MCM,2015,303.0
Action,2768820078,2015,38202.0
Action,279519365,2014,84897.0
Action,2891723967123,2013,3709.0
Action,2891723967123,2014,7700.0
Action,291129112911291129112911,2012,313.0
Action,29123,2015,295328.0
Action,29998000,2015,325.0
Action,2Chill,2014,2022.0
Action,2Chill,2015,2683.0
Action,2JZEEEEBABY,2014,179.0
Action,2ZESTY4ME,2013,1300.0
Action,2d4nk4m3,2014,28.0
Action,2edgy4youboi,2015,1096.0
Action,2ez2xl,2014,145.0
Action,2ez2xl,2015,56219.0
Action,2ik4tf,2014,1862.0
Action,2lstgun,2015,971.0
Action,2nerdssemvida,2015,2851.0
Action,2pacisaliveincuba,2015,74442.0
Action,2sBs,2013,98624.0
Action,2sBs,2014,878.0
Action,2spooky,2014,11322.0
Action,2v1meyoucheekyscrub,2014,17122.0
Action,2xDelorean,2013,1983.0
Action,30102002,2014,8233.0
Action,3021Daniel,2014,167420.0
Action,317984739321,2014,262220.0
Action,317984739321,2015,17636.0
Action,3197,2015,1865.0
Action,320RustPro,2014,17791.0
Action,33334scat,2014,2464.0
Action,334756875,2014,10439.0
Action,3423523425433425,2015,1956.0
Action,343221221,2013,3770.0
Action,345675,2013,754.0
Action,345675,2015,9668.0
Action,3523436346,2014,55040.0
Action,3523436346,2015,6.0
Action,35475,2015,66.0
Action,3548548564856498484894,2015,1808.0
Action,3565Jason,2015,12860.0
Action,369231461278416,2014,1177.0
Action,36_T,2013,333.0
Action,36_T,2014,27918.0
Action,373848099,2013,8646.0
Action,37755753,2015,51160.0
Action,381644,2015,773.0
Action,391204566,2012,1091.0
Action,3Ldota,2014,1998.0
Action,3dster,2015,352.0
Action,3eBpA,2015,697.0
Action,3teGZ_Rorschach,2014,104557.0
Action,3teGZ_Rorschach,2015,6548.0
Action,3th3,2014,105.0
Action,3th3,2015,771.0
Action,3xotic26,2013,6174.0
Action,3xotic26,2014,14918.0
Action,402553929,2015,131199.0
Action,4043RROR,2014,1169.0
Action,404ok4561687987879847,2014,114370.0
Action,41781029,2014,76.0
Action,4200769711,2015,85738.0
Action,420BlazeItMLG,2015,21690.0
Action,420Blz,2013,22443.0
Action,420DankMasterKush420,2015,7925.0
Action,420NigelGaming420,2015,1052.0
Action,420_Blaze_It_Fgt,2015,876.0
Action,420cheekycunt,2015,55465.0
Action,420fedora,2013,0.0
Action,420fedora,2014,36592.0
