item_id,id,year,sentiment
1250,1250,2009.0,2
22200,22200,2009.0,2
22200,22200,2009.0,2
227300,227300,2013.0,0
227300,227300,2013.0,0
239030,239030,2013.0,0
239030,239030,2013.0,0
248820,248820,2013.0,2
248820,248820,2013.0,2
248820,248820,2013.0,2
370360,370360,2015.0,2
370360,370360,2015.0,2
237930,237930,2014.0,2
237930,237930,2014.0,2
237930,237930,2014.0,2
263360,263360,2014.0,0
263360,263360,2014.0,0
263360,263360,2014.0,0
107200,107200,2011.0,2
107200,107200,2011.0,2
107200,107200,2011.0,2
107200,107200,2011.0,2
224500,224500,2016.0,2
224500,224500,2016.0,2
224500,224500,2016.0,2
250320,250320,2013.0,2
20920,20920,2011.0,2
204100,204100,2012.0,2
224600,224600,2014.0,2
224600,224600,2014.0,2
224600,224600,2014.0,2
224600,224600,2014.0,2
207610,207610,2012.0,0
108710,108710,2012.0,2
108710,108710,2012.0,2
211420,211420,2012.0,1
211420,211420,2012.0,1
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
730,730,2012.0,2
204300,204300,2012.0,2
204300,204300,2012.0,2
204300,204300,2012.0,2
204300,204300,2012.0,2
249130,249130,2013.0,0
249130,249130,2013.0,0
207610,207610,2012.0,0
550,550,2009.0,1
65800,65800,2011.0,0
65800,65800,2011.0,0
65800,65800,2011.0,0
65800,65800,2011.0,0
220,220,2004.0,2
730,730,2012.0,1
730,730,2012.0,0
440,440,2007.0,1
440,440,2007.0,1
252950,252950,2015.0,2
252950,252950,2015.0,2
252950,252950,2015.0,2
252950,252950,2015.0,2
440,440,2007.0,1
440,440,2007.0,1
304930,304930,2017.0,1
304930,304930,2017.0,1
304930,304930,2017.0,1
304930,304930,2017.0,1
304930,304930,2017.0,1
4000,4000,2006.0,1
4000,4000,2006.0,1
42910,42910,2011.0,1
42910,42910,2011.0,1
232090,232090,2016.0,2
1250,1250,2009.0,2
4000,4000,2006.0,2
4000,4000,2006.0,2
304930,304930,2017.0,0
304930,304930,2017.0,0
304930,304930,2017.0,0
304930,304930,2017.0,0
304930,304930,2017.0,0
224260,224260,2011.0,2
224260,224260,2011.0,2
224260,224260,2011.0,2
1250,1250,2009.0,2
440,440,2007.0,1
440,440,2007.0,1
730,730,2012.0,2
440,440,2007.0,2
440,440,2007.0,2
49520,49520,2012.0,0
49520,49520,2012.0,0
220200,220200,2015.0,2
220200,220200,2015.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
440,440,2007.0,2
440,440,2007.0,2
218740,218740,2012.0,1
218740,218740,2012.0,1
550,550,2009.0,2
220,220,2004.0,2
238090,238090,2014.0,2
238090,238090,2014.0,2
242130,242130,2015.0,0
242130,242130,2015.0,0
242130,242130,2015.0,0
277430,277430,2014.0,2
8870,8870,2013.0,1
368230,368230,2015.0,0
368230,368230,2015.0,0
368230,368230,2015.0,0
4000,4000,2006.0,2
4000,4000,2006.0,2
33930,33930,2010.0,2
33930,33930,2010.0,2
33930,33930,2010.0,2
219640,219640,2012.0,2
219640,219640,2012.0,2
287980,287980,2015.0,2
287980,287980,2015.0,2
287980,287980,2015.0,2
208090,208090,2014.0,1
208090,208090,2014.0,1
208090,208090,2014.0,1
242700,242700,2013.0,1
224260,224260,2011.0,1
224260,224260,2011.0,1
224260,224260,2011.0,1
221100,221100,2013.0,2
221100,221100,2013.0,2
221100,221100,2013.0,2
221100,221100,2013.0,2
331470,331470,2014.0,2
331470,331470,2014.0,2
331470,331470,2014.0,2
331470,331470,2014.0,2
4000,4000,2006.0,2
4000,4000,2006.0,2
323370,323370,2015.0,2
323370,323370,2015.0,2
323370,323370,2015.0,2
323370,323370,2015.0,2
323370,323370,2015.0,2
304930,304930,2017.0,2
304930,304930,2017.0,2
304930,304930,2017.0,2
304930,304930,2017.0,2
304930,304930,2017.0,2
48700,48700,2010.0,2
48700,48700,2010.0,2
238460,238460,2014.0,2
238460,238460,2014.0,2
238460,238460,2014.0,2
238460,238460,2014.0,2
34900,34900,2009.0,2
730,730,2012.0,2
113200,113200,2011.0,0
113200,113200,2011.0,0
113200,113200,2011.0,0
113200,113200,2011.0,0
440,440,2007.0,1
440,440,2007.0,1
213670,213670,2014.0,1
213670,213670,2014.0,1
213670,213670,2014.0,1
105600,105600,2011.0,0
105600,105600,2011.0,0
105600,105600,2011.0,0
105600,105600,2011.0,0
730,730,2012.0,1
620,620,2011.0,2
620,620,2011.0,2
4000,4000,2006.0,1
4000,4000,2006.0,1
317360,317360,2014.0,1
317360,317360,2014.0,1
317360,317360,2014.0,1
223710,223710,2013.0,1
223710,223710,2013.0,1
223710,223710,2013.0,1
299360,299360,2015.0,1
299360,299360,2015.0,1
299360,299360,2015.0,1
299360,299360,2015.0,1
322330,322330,2016.0,2
322330,322330,2016.0,2
322330,322330,2016.0,2
1250,1250,2009.0,1
12100,12100,2002.0,1
204360,204360,2012.0,2
204360,204360,2012.0,2
204360,204360,2012.0,2
204360,204360,2012.0,2
204360,204360,2012.0,2
440,440,2007.0,0
440,440,2007.0,0
224260,224260,2011.0,2
224260,224260,2011.0,2
224260,224260,2011.0,2
440,440,2007.0,2
440,440,2007.0,2
304930,304930,2017.0,0
304930,304930,2017.0,0
304930,304930,2017.0,0
304930,304930,2017.0,0
304930,304930,2017.0,0
440,440,2007.0,2
440,440,2007.0,2
1840,1840,2012.0,1
1840,1840,2012.0,1
440,440,2007.0,2
440,440,2007.0,2
440,440,2007.0,2
440,440,2007.0,2
449140,449140,2016.0,1
449140,449140,2016.0,1
449140,449140,2016.0,1
368730,368730,2015.0,1
368730,368730,2015.0,1
368730,368730,2015.0,1
368730,368730,2015.0,1
427270,427270,2017.0,2
427270,427270,2017.0,2
427270,427270,2017.0,2
397100,397100,2016.0,1
397100,397100,2016.0,1
397100,397100,2016.0,1
397100,397100,2016.0,1
248570,248570,2006.0,1
248570,248570,2006.0,1
248570,248570,2006.0,1
248570,248570,2006.0,1
298630,298630,2015.0,1
298630,298630,2015.0,1
298630,298630,2015.0,1
298630,298630,2015.0,1
298630,298630,2015.0,1
440,440,2007.0,0
440,440,2007.0,0
376920,376920,2015.0,2
376920,376920,2015.0,2
376920,376920,2015.0,2
257750,257750,2013.0,1
257750,257750,2013.0,1
257750,257750,2013.0,1
257750,257750,2013.0,1
221910,221910,2013.0,0
221910,221910,2013.0,0
2280,2280,1995.0,2
417860,417860,2015.0,1
417860,417860,2015.0,1
417860,417860,2015.0,1
417860,417860,2015.0,1
417860,417860,2015.0,1
222880,222880,2014.0,1
222880,222880,2014.0,1
222880,222880,2014.0,1
377160,377160,2015.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
252490,252490,2013.0,2
252490,252490,2013.0,2
252490,252490,2013.0,2
252490,252490,2013.0,2
252490,252490,2013.0,2
252490,252490,2013.0,2
440,440,2007.0,2
440,440,2007.0,2
242920,242920,2014.0,2
242920,242920,2014.0,2
242920,242920,2014.0,2
251990,251990,2013.0,2
251990,251990,2013.0,2
251990,251990,2013.0,2
251990,251990,2013.0,2
344760,344760,2015.0,0
344760,344760,2015.0,0
344760,344760,2015.0,0
344760,344760,2015.0,0
344760,344760,2015.0,0
252950,252950,2015.0,1
252950,252950,2015.0,1
252950,252950,2015.0,1
252950,252950,2015.0,1
236430,236430,2014.0,1
236430,236430,2014.0,1
399730,399730,2015.0,2
399730,399730,2015.0,2
399730,399730,2015.0,2
399730,399730,2015.0,2
550,550,2009.0,2
377160,377160,2015.0,2
219150,219150,2012.0,2
219150,219150,2012.0,2
277430,277430,2014.0,2
239820,239820,2013.0,2
239820,239820,2013.0,2
239820,239820,2013.0,2
239820,239820,2013.0,2
17410,17410,2009.0,2
17410,17410,2009.0,2
440,440,2007.0,2
440,440,2007.0,2
270550,270550,2014.0,2
270550,270550,2014.0,2
270550,270550,2014.0,2
270550,270550,2014.0,2
274940,274940,2014.0,2
274940,274940,2014.0,2
440,440,2007.0,0
440,440,2007.0,0
730,730,2012.0,1
294100,294100,2016.0,0
294100,294100,2016.0,0
294100,294100,2016.0,0
294100,294100,2016.0,0
212070,212070,2013.0,2
212070,212070,2013.0,2
212070,212070,2013.0,2
212070,212070,2013.0,2
264140,264140,2015.0,2
264140,264140,2015.0,2
264140,264140,2015.0,2
264140,264140,2015.0,2
332800,332800,2014.0,1
319630,319630,2015.0,2
319630,319630,2015.0,2
6020,6020,2003.0,1
55230,55230,2011.0,2
32430,32430,2009.0,2
377160,377160,2015.0,2
440,440,2007.0,0
440,440,2007.0,0
35450,35450,2011.0,2
35450,35450,2011.0,2
35450,35450,2011.0,2
440,440,2007.0,2
440,440,2007.0,2
351570,351570,2015.0,2
212680,212680,2012.0,0
212680,212680,2012.0,0
212680,212680,2012.0,0
391540,391540,2015.0,1
391540,391540,2015.0,1
550,550,2009.0,2
440,440,2007.0,1
440,440,2007.0,1
440,440,2007.0,0
440,440,2007.0,0
113400,113400,2011.0,0
113400,113400,2011.0,0
113400,113400,2011.0,0
440,440,2007.0,1
440,440,2007.0,1
200510,200510,2012.0,2
730,730,2012.0,2
200210,200210,2012.0,2
200210,200210,2012.0,2
200210,200210,2012.0,2
200210,200210,2012.0,2
200210,200210,2012.0,2
1250,1250,2009.0,1
304050,304050,2015.0,0
304050,304050,2015.0,0
304050,304050,2015.0,0
304050,304050,2015.0,0
304050,304050,2015.0,0
304050,304050,2015.0,0
265610,265610,2014.0,0
265610,265610,2014.0,0
264200,264200,2014.0,1
264200,264200,2014.0,1
264200,264200,2014.0,1
417860,417860,2015.0,0
417860,417860,2015.0,0
417860,417860,2015.0,0
417860,417860,2015.0,0
417860,417860,2015.0,0
213670,213670,2014.0,2
213670,213670,2014.0,2
213670,213670,2014.0,2
210770,210770,2013.0,0
210770,210770,2013.0,0
210770,210770,2013.0,0
351640,351640,2015.0,2
351640,351640,2015.0,2
351640,351640,2015.0,2
351640,351640,2015.0,2
202530,202530,2012.0,2
105600,105600,2011.0,2
105600,105600,2011.0,2
105600,105600,2011.0,2
105600,105600,2011.0,2
440,440,2007.0,2
440,440,2007.0,2
47870,47870,2010.0,2
730,730,2012.0,2
253710,253710,2014.0,0
253710,253710,2014.0,0
253710,253710,2014.0,0
253710,253710,2014.0,0
253710,253710,2014.0,0
339280,339280,2015.0,2
339280,339280,2015.0,2
339280,339280,2015.0,2
339280,339280,2015.0,2
203290,203290,2015.0,2
203290,203290,2015.0,2
440,440,2007.0,1
440,440,2007.0,1
233150,233150,2014.0,0
233150,233150,2014.0,0
233150,233150,2014.0,0
550,550,2009.0,0
730,730,2012.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
211820,211820,2016.0,2
440,440,2007.0,2
440,440,2007.0,2
346330,346330,2016.0,1
346330,346330,2016.0,1
346330,346330,2016.0,1
346330,346330,2016.0,1
346330,346330,2016.0,1
224260,224260,2011.0,2
224260,224260,2011.0,2
224260,224260,2011.0,2
317360,317360,2014.0,2
317360,317360,2014.0,2
317360,317360,2014.0,2
295550,295550,2014.0,2
295550,295550,2014.0,2
295550,295550,2014.0,2
250180,250180,2014.0,1
227940,227940,2016.0,1
227940,227940,2016.0,1
227940,227940,2016.0,1
227940,227940,2016.0,1
17520,17520,2005.0,2
17520,17520,2005.0,2
113420,113420,2011.0,2
113420,113420,2011.0,2
113420,113420,2011.0,2
320760,320760,2015.0,0
8850,8850,2010.0,2
233720,233720,2013.0,0
233720,233720,2013.0,0
233720,233720,2013.0,0
730,730,2012.0,2
220240,220240,2012.0,2
220240,220240,2012.0,2
440,440,2007.0,2
440,440,2007.0,2
4000,4000,2006.0,2
4000,4000,2006.0,2
304930,304930,2017.0,2
304930,304930,2017.0,2
