year,app_name,recommend
2011.0,Killing Floor,True
2011.0,Zeno Clash,True
2011.0,Zeno Clash,True
2013.0,Euro Truck Simulator 2,True
2013.0,Euro Truck Simulator 2,True
2013.0,"Papers, Please",True
2013.0,"Papers, Please",True
2015.0,TIS-100,True
2015.0,TIS-100,True
2014.0,Transistor,True
2014.0,Transistor,True
2014.0,Transistor,True
2014.0,3089 -- Futuristic Action RPG,True
2014.0,3089 -- Futuristic Action RPG,True
2014.0,3089 -- Futuristic Action RPG,True
2014.0,Space Pirates and Zombies,True
2014.0,Space Pirates and Zombies,True
2014.0,Space Pirates and Zombies,True
2014.0,Space Pirates and Zombies,True
2014.0,Gnomoria,True
2014.0,Gnomoria,True
2014.0,Gnomoria,True
2013.0,The Wolf Among Us,True
2012.0,The Witcher 2: Assassins of Kings Enhanced Edition,True
2012.0,Max Payne 3,True
2014.0,Defiance,True
2014.0,Defiance,True
2014.0,Defiance,True
2014.0,Defiance,True
2012.0,The Walking Dead,True
2012.0,Alan Wake,True
2012.0,Alan Wake,True
2014.0,DARK SOULS™: Prepare To Die™ Edition,True
2014.0,DARK SOULS™: Prepare To Die™ Edition,True
2013.0,Starbound,True
2013.0,Starbound,True
2013.0,Starbound,True
2013.0,Starbound,True
2013.0,Starbound,True
2014.0,Counter-Strike: Global Offensive,True
2013.0,Awesomenauts - the 2D moba,True
2013.0,Awesomenauts - the 2D moba,True
2013.0,Awesomenauts - the 2D moba,True
2013.0,Awesomenauts - the 2D moba,True
2014.0,LEGO® Marvel™ Super Heroes,True
2014.0,LEGO® Marvel™ Super Heroes,True
2012.0,The Walking Dead,True
2012.0,Left 4 Dead 2,True
2012.0,Dungeon Defenders,True
2012.0,Dungeon Defenders,True
2012.0,Dungeon Defenders,True
2012.0,Dungeon Defenders,True
2012.0,Half-Life 2,True
2014.0,Team Fortress 2,True
2014.0,Team Fortress 2,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2013.0,Garry's Mod,True
2013.0,Garry's Mod,True
2012.0,Magicka,True
2012.0,Magicka,True
2015.0,Killing Floor 2,True
2015.0,Killing Floor,True
2014.0,Garry's Mod,True
2014.0,Garry's Mod,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2013.0,Dota 2,True
2015.0,PAYDAY 2,True
2013.0,No More Room in Hell,True
2013.0,No More Room in Hell,True
2013.0,No More Room in Hell,True
2013.0,Killing Floor,True
2012.0,Team Fortress 2,True
2012.0,Team Fortress 2,True
2015.0,Counter-Strike: Global Offensive,True
2014.0,Team Fortress 2,True
2014.0,Team Fortress 2,True
2014.0,Borderlands 2,True
2014.0,Borderlands 2,True
2015.0,Kerbal Space Program,True
2015.0,Kerbal Space Program,True
2014.0,Starbound,True
2014.0,Starbound,True
2014.0,Starbound,True
2014.0,Starbound,True
2014.0,Starbound,True
2014.0,Team Fortress 2,True
2014.0,Team Fortress 2,True
2014.0,Pid,True
2014.0,Pid,True
2015.0,Left 4 Dead 2,True
2015.0,Sniper Elite 3,True
2015.0,Sniper Elite 3,True
2014.0,Halo: Spartan Assault,True
2015.0,BioShock Infinite,True
2015.0,Kingdom: Classic,True
2015.0,Kingdom: Classic,True
2015.0,Kingdom: Classic,True
2013.0,Arma 2: Operation Arrowhead,True
2013.0,Arma 2: Operation Arrowhead,True
2013.0,Arma 2: Operation Arrowhead,True
2015.0,Elite Dangerous,False
2015.0,Chivalry: Medieval Warfare,True
2015.0,Chivalry: Medieval Warfare,True
2015.0,Mini Metro,True
2015.0,Mini Metro,True
2015.0,Mini Metro,True
2015.0,Loadout,True
2015.0,Loadout,True
2015.0,Loadout,True
2014.0,Injustice: Gods Among Us Ultimate Edition,True
2014.0,Dota 2,False
2014.0,No More Room in Hell,True
2014.0,No More Room in Hell,True
2014.0,No More Room in Hell,True
2015.0,DayZ,True
2015.0,DayZ,True
2015.0,DayZ,True
2015.0,DayZ,True
2014.0,Dota 2,True
2014.0,Everlasting Summer,True
2014.0,Everlasting Summer,True
2014.0,Everlasting Summer,True
2014.0,Everlasting Summer,True
2014.0,Garry's Mod,True
2014.0,Garry's Mod,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Unturned,True
2014.0,Mount & Blade: Warband,True
2014.0,Mount & Blade: Warband,True
2015.0,Counter-Strike: Global Offensive,True
2013.0,The Binding of Isaac,True
2013.0,The Binding of Isaac,True
2013.0,The Binding of Isaac,True
2013.0,The Binding of Isaac,True
2014.0,Team Fortress 2,True
2014.0,Team Fortress 2,True
2015.0,South Park™: The Stick of Truth™,True
2015.0,South Park™: The Stick of Truth™,True
2015.0,South Park™: The Stick of Truth™,True
2015.0,Terraria,True
2015.0,Terraria,True
2015.0,Terraria,True
2015.0,Terraria,True
2015.0,Counter-Strike: Global Offensive,True
2015.0,Dota 2,True
2012.0,Portal 2,True
2012.0,Portal 2,True
2015.0,Cry of Fear,True
2015.0,Cry of Fear,True
2015.0,Cry of Fear,True
2015.0,Block N Load,True
2015.0,Block N Load,True
2015.0,Block N Load,True
2015.0,Block N Load,True
2015.0,Don't Starve Together,True
2015.0,Don't Starve Together,True
2015.0,Don't Starve Together,True
2015.0,Killing Floor,True
2015.0,Grand Theft Auto III,True
2015.0,Castle Crashers®,True
2015.0,Castle Crashers®,True
2015.0,Castle Crashers®,True
2015.0,Castle Crashers®,True
2015.0,Castle Crashers®,True
2013.0,Team Fortress 2,True
2013.0,Team Fortress 2,True
2013.0,No More Room in Hell,True
2013.0,No More Room in Hell,True
2013.0,No More Room in Hell,True
2012.0,Team Fortress 2,True
2012.0,Team Fortress 2,True
2015.0,Team Fortress 2,True
2015.0,Team Fortress 2,True
2015.0,Source Filmmaker,True
2015.0,Source Filmmaker,True
2013.0,Team Fortress 2,True
2013.0,Team Fortress 2,True
2015.0,Team Fortress 2,True
2015.0,Team Fortress 2,True
2015.0,Toribash,True
2015.0,Toribash,True
2015.0,Toribash,True
2015.0,Toribash,True
2015.0,The Escapists,True
2015.0,The Escapists,True
2015.0,The Escapists,True
2015.0,The Escapists,True
2015.0,The Escapists,True
2014.0,Assetto Corsa,True
2015.0,Team Fortress 2,True
2015.0,Team Fortress 2,True
2015.0,Tiki Man,True
2015.0,Tiki Man,True
2015.0,Tiki Man,True
2015.0,Bloody Trapland,True
2015.0,Bloody Trapland,True
2015.0,Bloody Trapland,True
2015.0,Bloody Trapland,True
2014.0,The Stanley Parable,True
2014.0,The Stanley Parable,True
2013.0,Ultimate Doom,True
2015.0,Emily is Away,False
2015.0,Emily is Away,False
2015.0,Emily is Away,False
2015.0,Emily is Away,False
2015.0,Emily is Away,False
2014.0,PAYDAY 2,True
2014.0,PAYDAY 2,True
2014.0,Insurgency,True
2014.0,Insurgency,True
2014.0,Insurgency,True
2015.0,Fallout 4,True
2013.0,Starbound,True
2013.0,Starbound,True
2013.0,Starbound,True
2013.0,Starbound,True
2013.0,Starbound,True
2015.0,Rust,True
2015.0,Rust,True
2015.0,Rust,True
2015.0,Rust,True
2015.0,Rust,True
2015.0,Rust,True
2014.0,Team Fortress 2,True
2014.0,Team Fortress 2,True
2014.0,Long Live The Queen,True
2014.0,Long Live The Queen,True
2014.0,Long Live The Queen,True
2014.0,Long Live The Queen,True
2015.0,Reign Of Kings,False
2015.0,Reign Of Kings,False
2015.0,Reign Of Kings,False
2015.0,Reign Of Kings,False
2015.0,Reign Of Kings,False
2015.0,Rocket League®,True
2015.0,Rocket League®,True
2015.0,Rocket League®,True
2015.0,Rocket League®,True
2015.0,Rocket League® - Revenge of the Battle-Cars DLC Pack,True
2015.0,Rocket League® - Revenge of the Battle-Cars DLC Pack,True
2015.0,Rocket League® - Revenge of the Battle-Cars DLC Pack,True
2015.0,Rocket League® - Revenge of the Battle-Cars DLC Pack,True
